postId	message
159616034235_10150661882744236	I like to shop at the Walmart.  Good prices there.
159616034235_10151073327909236	I love you wal mart!
163478290365055_373063782739837	Love shopping at auto zone.
163478290365055_374638672608244	Nice car at the store
163478290365055_390273964352152	"""Best Deal"" for Auto Parts."
167890209688_10150800519614689	Online banking is not working.
179590995428478_319787741408802	Good old BOA. Thanks for taking care of my accounts
179590995428478_386105701443672	Ads on my online statement?  Way too far!  You are making leaving far too easy.
21493231379_10150892015636380	I want Windows phone 7 app
21493231379_10151235256136380	Almost at a million likes!!
260431051694_10150467219196695	I love your every product:)
56805881344_10150984657681345	THESE ARE SOME GOOD RECIPES
60686173217_10150884068618218	"I love Kroger! so glad for the Savings on the card, Plus that you double coupons every day .55cents and below!:)"
6806028948_10150616698843949	Fail on the less leg room move...Don't do it.
6806028948_10151071741608949	Anyone have any promo codes?
6806028948_10151174178293949	Always good and timely service
7003656077_10150867503581078	Yay for in flight wifi!!!
7003656077_10150974151141078	What is the fifth clue?
7003656077_10151133339051078	yo u guys suck 4 real
7003656077_10151158475001078	I'm thankfull for the Carew
78143372410_10150965830082411	I like just for you
8103318119_10150545446088120	The good stuff from target!
8103318119_10150853080568120	me gusta comprar en target
92979593115_10150675260318116	"Headed to CVS? Check out the foot bath we found for only $4.99, down from $20! No coupon needed for this deal."
8103318119_10150594038733120	Must-Have Monday: Jason Wu for Target black trench coat. Read more about it over at the FIDM Blog! http://bit.ly/y7ZLCw
92979593115_10151104049968116	"Would LOVE to try a REAL CANDY BAR (""back in the day"" no hfc)...Is it still only 5 cents ??  JOKE!!  HAHA!!"
117497138610_10151225364568611	Your website sucks. I've been an hour trying to get a dozen pictures printed. What gives?
125472670805257_473708389315015	been on hold for 1 hour and 6 minutes. wish I would have been offered the call back. :(
92979593115_10150702428208116	"CVS, I <3 YOU! Thanks for the birthday gift! That's more than I got from my 2 sisters!"
102621172007_10150703834022008	"When will the new store in Mt. Holly, NJ be opened?"
147285781446_10151135442216447	You did the right thing. Stay strong and follow your heart.
179590995428478_409958195725089	I am not happy with this bank. Thinking about moving on.
6806028948_10150742377328949	southwest you ROCK! thank you so much for your help today!
6806028948_10151164970228949	thanks for the drink coupons! they just arrived in today's mail
7003656077_10150686005906078	Website Down?  Can't book a flight or even access the URL
117497138610_10150624121003611	I just called and got quotes from Walmart and from Walgreens.  Walmart quoted me $4 for two RX and Walgreens quoted me $160.09 for one RX and $59.99 for the other.. the 3rd RX walgreens quoted me $68.79 and Walmart quoted me $34 ... come on you guys
102621172007_10151234994447008	Need more hula girls for car
104078918472_10150664243738473	Once again US Airways pulls through.  Thanks for the ride to work :-)
108381603303_10150549428343304	wish there was a love button
108381603303_10151102051878304	Where can I get a coupon?
110455108974424_463103970376201	can you trade a ps2 for xbox 360
117497138610_10151011851018611	Cvs is better than yall :D
117497138610_10151154915343611	"How do I de-friend you, Walgreens?"
129945096760_10150498734366761	Love Dole and all their products!
147285781446_10151033448416447	I like Dick/s Sporting Goods
17648521247_10151178818166248	Day 3 of training is going well!!
179590995428478_328767630510813	Do you enjoy ripping people off?
179590995428478_418078291579746	if its coming in my names hold until solar futher notice.suspend.
21493231379_10150716897426380	Why can't I sign in now?
63445693036_10150506639863037	i'm a big shopper at Macy's
63445693036_10150874095323037	looking for a mans  fossil watch
63445693036_10151133787723037	dump trump! you do not need to be part of the hate.
63445693036_10151168145108037	"A million reasons to believe...one reason not to shop, dump Trump!"
6806028948_10150598758813949	When will Southwest & AirTran be merged 100%?
6806028948_10150757076763949	They've been darned good to me!!
6806028948_10150850623833949	Any package deals to Disney World?
6806028948_10151053063918949	"do you fly into Charlotte, NC?"
6806028948_10151280030448949	Withdraw your support of the CPD.
77978885595_377321438975419	PetSmart has the best dog toys!!
8103318119_10150742298433120	Love my little red target card!
8103318119_10150773107038120	target stinks wal mart is better
8103318119_10150791326173120	This is my store. I have to stay out of the store or else I'll be broke.....smile
92979593115_283255695081089	Sweet deal at Some CVS stores!!
100488814000_10150607891289001	I just got $40 in rebates from Kellogg's. What would you spend it on?
100488814000_10150996918809001	Please take GMOs out of your food! I want to eat cereal again!!!
117497138610_294128063982219	this is why i <3 being a fan of this page http://bit.ly/xC2jmC
12699262021_10150758311187022	I heard that Best Buy is going out of buisness. Is this true?
12699262021_10151019114977022	do you have any outlets in uk?? or do you post in uk??
17648521247_10150972307366248	"How did I get ""friended"" by Kohl's? I wil NEVER shop there again."
17648521247_10151200033756248	I love the new look....just in time for my nieces and nephews
179590995428478_441122675941974	Time to leave B of A!!!! Sorry screw me over and thats it!!!
77978885595_10152354821325596	"Brandi in Spanish Spirngs, NV is the best!   Hazel and Lucy love her!"
78143372410_10150600652567411	Open Nature products are the best.  Did not take long to get hooked.
147285781446_10151052093156447	Just bought s pair of tennis shoes there last might. You guys were $30 cheaper than sports chalet! I was surprised!
17648521247_10151272742881248	I won your Dream Receipt contest today!!!  Thank you so much!  I love your store and shop there a lot!
102621172007_10151278906582008	has any one tried the hair dye?
106245416086016_461714403872447	GBY PLEASE OPEN STORE IN PUERTO RICO
108381603303_3630560894584	How they do it here in Brazil!!!
115568331790246_520951604585248	"Great service and clean, well lit store."
117497138610_10151181592098611	Like if you love your local Walgreens
12699262021_10150673729117022	i do not like best buy spam
151262458516_10150724952118517	How do we get free tide sample?
151262458516_10151005989528517	"Love your new store in Akron, PA.!!"
159616034235_10150666341729236	sean  loves  walli  and  loves  basket ball
159616034235_10150718228374236	how do i get my 1000$ gift card.
17648521247_10151102326036248	Some flash sale if you can't even get into the website!  This is crappy
17648521247_10151310264686248	do anyone have a code for 30% off?
56805881344_10150951743091345	"Helpz, what recipes carb0nara' sauce', and what pr0cedure' c0king' thnkz'"
63445693036_10150590134883037	what do u guys like about macy's?
63445693036_10150977860108037	How can I apply for this offer
63445693036_10151168111053037	Not shopping at Macy's til Trump = dumped
6806028948_10151001530188949	my daughter is the best on Southwest
6806028948_10151383037213949	How dare you kick out Kevin Smith!
7003656077_10150922183331078	"Love AA, just not the md-80's."
77978885595_381703885257960	Bought a lovely cat bed from PetSmart....
8103318119_10150779912468120	"Target suck, wouldnt buy nouthing from thim"
8103318119_10150809981443120	I feel like I'm always buying/making new pillows. These are all from Target!
8103318119_10150850967528120	Thanks for my Free gift card Target!!!
8103318119_10150923939458120	How can my free goodie makeup bag
8103318119_10150968109558120	JUST LEFT I SO LOVE THIS STORE
8103318119_10151310898933120	is your $10 gift card link not working?
92979593115_10150496436303116	"send to card , Love my extra bucks...."
92979593115_10150513573713116	LOVE the Johnson & Johnson sale this week!!
92979593115_10150612420653116	today's CVS trip: better than free colgate!
92979593115_10150994974608116	Coupon thing will not work for me.....
17648521247_10151259650561248	Anyone out there having problems placing an order?  I can't get mine to go. Just keeps telling me Sorry for the delay!
110455108974424_464136993606232	"hey hello, I wanted to ask what was the best graphics of xbox 360 and ps3!? thanks :)"
117497138610_10150643087903611	Will you have a sale on Iceland Pure Spring Water any day soon. Great water!
129945096760_10150854182006761	Thanks DOLE!!! I received my True Bliss prize by Fed EX and I love it.
152789358067261_381288978550630	Y'all's online bill pay service is very helpful. I use it all of the time.
6806028948_10150597006488949	Southwest...waiting for a cheap ticket to be posted from BNA to MKE in Feb.
8103318119_10150553566433120	I love Target and I got $90 in gift cards from my bus kids for Christmas!!! :)
8103318119_10150983277703120	Thank you for fixing the website IT issue Target. My lists are all working now!
8103318119_10151283987838120	Wish you still had some of the DVDs in stock that were priced at $1 each.  8*(
92979593115_10150508066163116	"What good are the coupons I received in the mail today (1/6/12) when they expired Dec. 25, 2011??"
92979593115_10151161039423116	"I love my extra bucks (and soon to be double extra bucks)! Thank you, CVS!"
100488814000_10151219179059001	kelloggs are number one cereal for my children
108381603303_4312426779496	This is how much I love you guys...I just had to make my own picture of you guys <3...HOPE YOU GUYS LOVE IT <3
110455108974424_353633784656554	how much is it to sell your psp
110455108974424_523528647667066	My Forset armour skin dosent work :(  for halo 4
110455108974424_547439818609282	how much is the new hitman game for ps3?
115568331790246_387309507949459	where do I enter code for sweet escape??
124728879505_10150468699949506	Can I find Cheese soup in the UK ?
12699262021_10151185529012022	do you have the iPhone 5 without any program?
12699262021_10151269181677022	"Best Buy, What time do your doors open for Black Friday? & I hope to find a great deal on your newest Game systems. :D"
12699262021_10151314239282022	ry mo sucks good thing you fired him
129945096760_10150638910916761	I love dishes made with fruit and meat....
147285781446_10151057309391447	Why do you only have two arrow rests in your Hadley MA Store? Its deer season.
152789358067261_380014238678104	Will a branch ever come to Brooklyn NY?
159616034235_10150592836599236	MY PAYCHECKS seem to go to Walmart lol!!!
167890209688_10150870129619689	Can you buy money orders at SunTrust branches?
17648521247_10151022955006248	Anyone have the code for the 30%off July 13-22
17648521247_10151284184871248	When is the next peel and scratch sale?
179590995428478_281626641891579	"God, I wish there was an UNLIKE button."
63445693036_10151138234598037	Good for you Macy's stickin with the Donald!!!!
6806028948_10150697633603949	How do I sign up for rapid rewards?
6806028948_10150714594738949	i was just able to log into my rapid rewards and book a flight.....keep trying
6806028948_10151091882723949	I always have a good flight on southwest.
6806028948_10151176851673949	"do you travel to san juan, puerto rico?"
78143372410_10150602354677411	Thanks for dropping the pink slime!  I will go to my local store for my beef!
8103318119_10150627020243120	how do we get a target coupon book?
8103318119_10151063354558120	"Its that time again....I got not 2, not 3 or 4, BUT 7 bags of school supplies for my kids and only spent $65!!!! Now, thats whats up!"
8103318119_10151254990943120	Target is tops with best shoes in town!
92979593115_10150919614123116	You should open a store in Cheyenne Wyoming!!!!!
92979593115_10151234376748116	"I lov cvs . I get my meds ,shampoo ,cards and much more from my local cvs"
92979593115_250015655092910	Installed the EIFS to over 100 stores and counting !!!!!
12699262021_10151289462907022	"I was charged $19.99 for Iron Man II Blue Ray, it was changed from $3.99. I have been on hold for 45 min. and they still can't correct this. Unbelievable."
12854644836_10151295166749837	"In honor of Christmas I'd like to say, ""Jesus H. Christ! Please stop the daily emails! I've been unsubscribing daily for two months!"" PLEASE STOP THE EMAILS. PLEASE!!!!"
12699262021_10151332160887022	Dear Mr/s I want to know if the no contract iPhone 4S is sim free?. Thank you
179590995428478_356499127737663	Online bill pay has been down for at least 17 hours so far today.  What's up with THAT????????????????????
6806028948_10151059816873949	I need a discount code for southwest. Does anyone have on if do please inbox me please.
8103318119_10151202479168120	"Hope you all are having a great day.  Don't forget, Fairmont, WV is ready for a Target!"
100488814000_10150897911764001	Could you please post some coupons on Common Kindness?
108381603303_10150499128488304	i think u should add one more layer to the kit kat but make that peanut butter! i eat kit kats with P.B. OMG they are the best so how about adding one pb layer???
108381603303_477268992291380	just wanna share the sweet gift from my babe =)
117497138610_10150734399638611	"I love Texas Roadhouse, please sell their gift cards..!!!"
147285781446_10151018240551447	"So ready for the Monroe, La store to open!!!"
159616034235_10150767120279236	"Your website is acting up! it wont let me look up items says ""your request cannot be processed"" -_-"
179590995428478_333030560084520	So you guys hit me with a $120.00 fee for moving my money around between my savings and checking account. If its MY money why am i getting hit with a crappy fee. New bank coming soon.
179590995428478_387368481317394	You guys are THE worst bank of all time
179590995428478_419550218099220	BOA sucks and u do nothing to help people!!!!
56805881344_10151137072881345	Could you please list gmo/non gmo produce/crops????
6806028948_10151020109528949	"Just finished my first non-rev trip, Atl-Phx, Phx-Oak, Oak-LAX, LAX-Phx, Phx-Atl. LUV the booking by the Pass Bureau and the service by Southwest at each waypoint. Thanks."
8103318119_10151097764268120	I would like to know how to delete them
92979593115_10151171516363116	I hate you CVS :(  you guys took my cat
92979593115_10151254286648116	Where do I request coupon for Essence of Beauty?
179590995428478_364422523611990	"time for bank of america to go. when you write someone a check, they go to your bank. and the bank says give us your finger print or you can't cash your check. WHO DO THEY THINK THEY ARE. I DO NOT TAKE THEIR CHECKS. other banks charge the person you wrote the check to 5,7,10. dollars. STOP USING THESE BANKS. HELP THEM TO BE NOT TO BIG TO FAIL."
8103318119_10150702425943120	"Also, Ragu is on sale for $1.74 (45 oz!) this week at Price Chopper Supermarkets ....for locals if you printed the Target $1/2 Ragu coupon you can use them at Price Chopper for this sale. This makes each jar of sauce only $1.24 each!!"
100488814000_10150543500549001	"Come on Kellogg's, bring back one of the best cereals of all time, drum roll please KRUMBLES! I can even  taste them in my mouth right now.  Me late dad loved them, too!  KRUMBLES is the best!"
12699262021_290224754429647	is this add legit? https://blackfriday.bestbuy.com/product/1167489 It says $194.99 for IPod 4th PLUS a $50 gift card???
125472670805257_533245900027930	Thank you for changing my flight due to weather when I called today. Yes I waited about 20  minutes on hold but wasn't bad. The change took 5 minutes....no change fees and even a refund for my economy comfort seats! Easy peasy. Thanks!!
100488814000_10151154844104001	"Kelloggs.com doesn't allow e-mail contact so I'll try this. I bought 2 boxes of the new Flatbread Breakfast Sandwich. Don't waste your money.  They have ""o"" taste and had to throw out 7 of the 8 sandwiches. $10 lost. They are horrible.  Diane Gunther  di909@aol.com  11-01-12"
110455108974424_395768003776465	Hey did Silent Hill HD get released today? I reserved it and I wanna go pick it up ASAP.
115568331790246_362937193720024	"I am so glad that we have Walgreens, and Walgreens does not support SOPA.  So much easier to choose."
124793145874_10150949709760875	"I bought a pack of 25 envelopes from Office Depot for $4.79. I ran out, so I stopped at OfficeMax on my way to the Post Office. A pack of 6 was $4.99. Even the ones at the PO were only .49 each ($2.94 for six). Guess where I'll be shopping in the future?"
199504650087085_432488676788680	"I can't get a ticket for my mother from Newark to Bogot on July 31st. with low price, under US$ 800..............!"
179590995428478_364479760272933	This is the most AWESOME Bank I have ever had.  And I have had a few.  Don't care what the media says. I know when I am being treated well. WTG BofA!
92979593115_10151209218223116	There's a CVS on 22nd & South Sts. in Philly that's getting ready to have its grand opening soon. Im not sure when. Could you let me know when that's going to happen? Thanks :-)
63445693036_10150953745528037	I found the perfect pair of shoes at Macy's this Sat. and saved more than 1/2 price by using my Macy's card. I'm very happy and I love Macy's sales.
17648521247_10151256278831248	"You can get on thru a page that links to them.  'Like' Passion for Savings on FB and follow one of those links.  I was able to get in, my cart was there and I am done.  Good luck!"
7003656077_258819407562918	"Thank for wasting almost 2 hours of my life.  Your AA.com website has missing pages and when I try to find the page that your website tells me ""AA.com makes it easy to access your future and past itinerary and receipt"" - that page DOES NOT EXIST!  This one: https://www.aa.com/i18n/urls/receipt.jsp  For the love of sweet Jesus help me find it!!!!"
108381603303_10151068711293304	Daddy's camping with his buddies so my girls AKA 3 1/2 & DEA 2 1/2 made s'mores @ home. Hysterical! The gave 5 stars for taste. To top off our night I caught them washing their hands in the dog's water. LOL!
117497138610_10151090476298611	"Walgreens has bought the Mays, Medx, & Drug Warehouses in Tulsa/Broken Arrow, OK area. Closing all but 1 or 2 of them. I will NOT transfer Rxs to Walgreens. Will be going to WalMart now. DISLIKE WALGREENS!!!!"
100488814000_10151000816919001	Please remove GMO's from your products!  Our children deserve a healthy future and GMO's should not be part of it!
100488814000_10151076894474001	No Kellogg's in our house until they remove ALL GMOs.
110455108974424_507288065957791	How much would you get to trade in a 120gb Xbox 360
117497138610_10150681890568611	"""We believe... in boosting, not knocking..."" - Charles Walgreen"".... uhm, yeah, unless you happen to be a conservative talk show host....."
124728879505_10151101196899506	Is Green Pea soup the best soup in the world?
125472670805257_465618836790637	they should change it from Delta airlines to Delayed airlines
12699262021_10150527767867022	Do u sell just about all the beats by dre
12699262021_10150667671197022	Purchased Mass Effect 3 Online and did a in-store pickup but didn't get my DLC Code.  Can you help me out?
12699262021_10151272983582022	so mad that the purchase is not going through. I had the items in my card by 11:02 am and clicked purchase by 11:05 am... and kept bringing an error message and now the site is not even working... phone is busy
12854644836_10151042368444837	Now I'm super psyched.....just scored the mk burgundy shoes to go with my dress!!!!! I'm on cloud nine. Yes!!!!!
159616034235_10150711735519236	Are you going to stop selling beef with Pink Slime?
163478290365055_383473855032163	A great place to buy your parts for your car
17648521247_10151259612501248	It's hard to shop online when your site isn't working :(
17648521247_10151330492366248	Went clothes shopping the other day at Kohl's.  Not one item made in USA.  Walked out empty handed.  Very disappointing!
179590995428478_348629995191243	they charge awful prices for items that should be free
179590995428478_365199500200959	By far the worst bank I have EVER dealt with
179590995428478_393351104052465	"Just a update, Got a call this morning that my loan is approved and will be going through. We'll see. Hoping to get back my liking of B of A."
199504650087085_315503411820541	I hope to find my next Flight with No problems!
260431051694_10150570798556695	Will Crystal clear Pepsi ever come back I want some
56805881344_10150587754576345	Thank you for pulling your ads from GCB on ABC-TV.
58139304797_10150617918859798	We love it but your web page is not friendly
63445693036_10150944748713037	I want to be part of the promo of Macy's
63445693036_10151168166858037	I will not buy from Marcy's until you dump trump.
6806028948_10150957094968949	Who wants to come up to Vegas for the 4th of July? $41 fix each way is the cheapest you will find!
6806028948_10151306684708949	Thanks for the great flight to St Louis this week!
8103318119_10151012916133120	I wish there were a Love button on this page.
92979593115_10150584161213116	This is great news if you are a CVS shopper!
108381603303_10150653543568304	"Do not sponsor ABC.. We want OLTL and AMC back. Boycotting ABC - only watching GH.. Hoover did it, so can you!"
17648521247_10150674762341248	"Welcome to Rolla,Mo.! Glad that you made us part of your family of stores. You won't be sorry! Thank you!"
8103318119_10151072657128120	"yous guys need to build a target in childress, tx. Applebees or olive garden..taco bell..jack in da box, etc."
17648521247_10150874957331248	Thank you for helping me resolving my issue. You are awesome. Did alot of summer shopping for my daughter today online. yay.
6806028948_10150608224033949	"I am looking to receive the two free tickets by posting on my fb home. Is this where to go? We travel southwest often and have been pleased with our service. Sincerely, B. B Luan Jentsch Wachmann"
199504650087085_438987919472089	"How much the weight limit to China?  Bag fee if  flying IAH-LAX-PEK, one luggage. ?? Thanks in advanced"
179590995428478_419183901469185	your call center is closed? it's 9:32a EST and i haven't been able to talk to a SINGLE PERSON. i've been calling for 15 minutes. #stepitup
6806028948_10151028280098949	"If your Southwest airline flight says no plane change, figure on a plane change. Renee had one stop, no plane change. Wrong. Baggage delayed one day. I had two stops, no plane change. Wrong, 2 plane changes but baggage made it. On the flight back, I did have a plane change and the ones not getting off in Chicago were supposed to have no plane change. Oops, SW goofed, plane change for those folks. Hope they got their bags when they arrived."
108381603303_10151189795198304	This Fish is a camping fool! Thanks Hershey's for the chance to win that long overdue fire pits!  I am in need of the smores!  :)
159616034235_10150997070838126	"Wm. I love your ""cost efficiency and in past, would travel to you for certain items. But that ""UpTown"" store! I can hardly bear to be inside and shopping is no longer fun. Are you still working on ""design"" there?"
17648521247_10150862701011248	"I have kohls dollars that expired on may 3rd.. i couldnt make it there before that date, can i still use them?"
6806028948_10150748606328949	"If you are not a certain size, you will be embarassed by SW.  Give me a break!  Make your seats bigger.  I will never fly this airline again."
115568331790246_559361900744218	Went to use my wellness rewards only to find out after 2 weeks they are gone. First when you get them you have to use them within 24 hours.Then i find this out!
7003656077_10150824832601078	Can not believe your still in business! I HAD to use your airline cause it was the only airline i guess that could take us to Punta Cana. BUT it had to be connecting flights. The service on the plane was horrible. Hot in the cabin. Rude staff. No snacks or drinks! This is why I only travel Jetblue. I didnt think AA was like this. But i will ONLY fly Jetblue for now on. And it was a tight squeeze!! Are your customers cattle? Just load them on the plane!! I paid alot of money for crap!!! Your planes are OLD. No tvs to watch. I have to watch whatever you want. What a mess your airline is. Like i said i had to connect. But i will connect somewhere else for now on. AA is a joke. Jetblue is LUXURY!!!
12699262021_10150938892237022	"I got same text message saying I won $1000 .. I virus protector won't even let me open it.. the number you  is from 716-435-1357...I hope Best Buy , know about this"
78143372410_10150809796697411	Yes come on down to Safeway and get a mouthful of fists...pregnant or not..I would never shop there! You you support Ryan Young for his heroic actions!
56805881344_10151160065856345	"is your cracker barrel extra sharp cheese net wt. 8 oz., a smaller quantity than it was some time ago. Did it not use to have more ozs, in the package?"
12699262021_10151209384362022	You guys are on the ball!! Super fast shipping...Great selection...Great prices.
260431051694_10150573084036695	Stop using aborted baby to test flavors for your products! www.lifenews.org
100488814000_10151043037554001	"Until you label GMO, I boycott, and tell everyone I know."
102621172007_10151150335912008	These 3x5 post it notes are changing my life for the better
108381603303_10151025673403304	Please dear Hershey's get child labor out of Your cocoa supply chain! Your products will never taste good unless You do that...
108381603303_10151321838398304	Try makin small bite size bars to add to ur collect
110455108974424_523185437701387	"i lost my pre-order receive , can i still get the game?"
117497138610_10150495177158611	Hey Express Scripts and Walgreens - how about you kiss my ass.
125472670805257_4077876105373	I like this picture the best - this is not going away.
147285781446_10151135649821447	What do you think about this move by Dick's Sporting Goods?
147285781446_10151136945326447	"Thank you, Dick's for taking this step toward sense and reason."
152789358067261_422175917795269	HOW UCH DO I HAVE TO HAVE TO OPEN AN IRA?
163478290365055_374030819309800	I like to  go to auto zone for my cars procucts
