postId	message	Appreciation	Complaint	Feedback
115568331790246_498848633462212	great store	1	0	0
117497138610_10150577440968611	A great store! http://brusads.com	1	0	0
117497138610_10150606167993611	love walgreen's	1	0	0
117497138610_10150872493928611	Yes Please!!	1	0	0
117497138610_10151110236958611	lk it	1	0	0
117497138610_10151133685708611	Great place!	1	0	0
124728879505_10150790184404506	mmm gd!	1	0	0
125472670805257_288059581299931	Travel Sweet	1	0	0
125472670805257_517287931623727	DELTA ROCKS!!!!!	1	0	0
126016648090_10151161344703091	No GMO !	0	1	0
126016648090_10151164556133091	GMO=death	0	1	0
126016648090_10151167543143091	Well Done!!!	1	0	0
12699262021_158649594259452	Can't Wait!!!	1	0	0
12854644836_10150920101589837	gorgouse things !	1	0	0
129945096760_10150604277696761	great trip	1	0	0
129945096760_10150607997961761	love it !!!!!!!!!!!!!!!!!!!!	1	0	0
129945096760_10150613378281761	like this	1	0	0
147285781446_10151135930386447	Thank You	1	0	0
159616034235_10150610274529236	walmart sucks	0	1	0
159616034235_10150617768479236	nasty people	0	1	0
159616034235_10150661224479236	walmarts boring	0	1	0
159616034235_10150661945144236	love walmart	1	0	0
159616034235_10150665879554236	WALMART'S ROCKS!!!!!!	1	0	0
159616034235_10150672124314236	walmart sucks	0	1	0
159616034235_10150691209354236	love Walmart	1	0	0
159616034235_10150695185294236	i like	1	0	0
159616034235_10150715774609236	Like walmart	1	0	0
159616034235_10150729910514236	love Walmart	1	0	0
159616034235_10150736807529236	Love WalMart	1	0	0
159616034235_10150785036299236	u suck	0	1	0
159616034235_10150803702634236	Love Walmart!	1	0	0
159616034235_10150981977479236	like walmart	1	0	0
159616034235_10151014716244236	Love WalMart	1	0	0
159616034235_10151015647614236	WALMART SUCKS	0	1	0
159616034235_10151071538774236	HI WALMART	1	0	0
159616034235_10151124945159236	You suck	0	1	0
159616034235_10151131437264236	Walmart sucks	0	1	0
159616034235_10151161851329236	love you	1	0	0
159616034235_10151178745929236	Thank you	1	0	0
159616034235_10151193529209236	Love walmart	1	0	0
159616034235_10151208424069236	HI WALMART	1	0	0
159616034235_10151273979569236	walmart sucks	0	1	0
159616034235_10151324309189236	Great deals!	1	0	0
163478290365055_414268918619323	good morning	0	1	0
163478290365055_432094620170086	good parts	1	0	0
17648521247_10150983775506248	Love it!	1	0	0
17648521247_10151017897881248	luv it!!!	1	0	0
17648521247_10151226252946248	grandm. likes Kohl;s	1	0	0
17648521247_10151260779066248	Kohl's cash day wahoo! ;-)	1	0	0
179590995428478_344486788938897	dear boa...   u suck	0	1	0
179590995428478_357528667634709	you sucks	0	1	0
179590995428478_368685519852357	You Suck	0	1	0
179590995428478_381987931855449	you  suck	0	1	0
179590995428478_412917728762469	Yall suck!	0	1	0
179590995428478_445000175554224	Very nice	1	0	0
21493231379_10151059442831380	Help. Can't log in.	0	0	1
21493231379_10151093195436380	nice points.	1	0	0
260431051694_10150609939226695	Stop using HEK293 !!!!!!!!!!	0	1	0
260431051694_10150961820212007	Charlotte Airport!  Love it.	1	0	0
260431051694_372883626110037	pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE ! pepsi ONE !	1	0	0
56805881344_10150496259681345	me like	1	0	0
56805881344_10150641745336345	yum yum	1	0	0
56805881344_10150646065446345	Why Brazil?	0	0	1
63445693036_10150533665158037	Thank you	1	0	0
63445693036_10150566483793037	LOVE MACY'S	1	0	0
63445693036_10150704423878037	i like	1	0	0
63445693036_10151089623868037	Love macy's	1	0	0
63445693036_10151131114638037	DUMP TRUMP!	0	1	0
63445693036_10151158698068037	Dump Trump!	0	1	0
63445693036_10151168106073037	Dump Trump	0	1	0
63445693036_10151168125613037	Dump Trump!	0	0	1
63445693036_10151168164808037	DUMP TRUMP	0	1	0
63445693036_10151168176973037	Dump Trump!!!	0	1	0
63445693036_10151168220733037	Dump Trump!!!!!	0	1	0
63445693036_10151168281623037	DUMP TRUMP!!!!!	0	1	0
63445693036_10151168538648037	Dump trump!	0	1	0
63445693036_10151168599328037	DUMP TRUMP!!!!!!	0	1	0
63445693036_10151169292633037	dump trump	0	0	1
63445693036_10151176539198037	love macys	1	0	0
6806028948_10150597700488949	Love southwest!!!!	1	0	0
6806028948_10150604729803949	Yall SUCK!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  I'm Ouuuuuuuuuuut	0	1	0
6806028948_10150661875438949	Me likie!	1	0	0
6806028948_10150661972313949	Luv southwest	1	0	0
6806028948_10150662221723949	Luv SWA!	1	0	0
6806028948_10150664038818949	Luv Southwest!	1	0	0
6806028948_10150714875353949	free airfare!	1	0	0
6806028948_10150737374078949	sheap ticket	0	1	0
6806028948_10151039024443949	Great Service!!!	1	0	0
6806028948_10151099997613949	Team Southwest!	1	0	0
6806028948_10151111414998949	No delays....	0	1	0
6806028948_10151118144433949	They suck	0	1	0
6806028948_10151141981228949	SOUTHWEST ROCKS...!!!	1	0	0
6806028948_10151357986743949	GREAT SERVICE !!	1	0	0
7003656077_10150837710591078	Great project	1	0	0
8103318119_10150678985698120	LOve Target'	1	0	0
8103318119_10150722905273120	great store	1	0	0
8103318119_10151004185723120	HAPPY BIRTHDAY!!!!!	1	0	0
8103318119_10151108856958120	love target 11111000000000000000000000000000000000000000%	1	0	0
8103318119_10151249417828120	Caleb Target ;)	1	0	0
8103318119_10151258976643120	like target	1	0	0
92979593115_10150553311453116	I like	1	0	0
92979593115_10150690510893116	love CVS	1	0	0
92979593115_10150997550693116	Not working...	0	1	0
92979593115_10151103863598116	Yippie! Hope it works!	1	0	0
92979593115_10151167749103116	website down??	0	0	1
92979593115_10151203128123116	like cvs	1	0	0
92979593115_10151306179373116	Free samples??????????????	0	0	1
147285781446_10151136004086447	"Thank you, Dick's!!! Thank you. Way to step up. :)"	1	0	0
179590995428478_334167293304180	"Wow... 479,974 people 'like' BOA... that's so sad"	0	1	0
199504650087085_516216795064451	I like Untied.com http://untied.com/#	1	0	0
108381603303_10151084845633304	The syrup seems 50% weaker......why?	0	0	1
110455108974424_450188968334368	How much for a used. Ps3	0	0	1
17648521247_10150707879276248	bea reece likes Kohl.s	1	0	0
17648521247_10151298993631248	I like working at Kohl's.=)	1	0	0
21493231379_10151257312836380	love the cash back.  lol	1	0	0
7003656077_10150518414366078	An awesome airline...nuff said.	1	0	0
8103318119_10150552697243120	I like Target.   Lenore V.	1	0	0
92979593115_10150521304393116	I can NOT stand CVS!!!!!!'	0	1	0
92979593115_10151109198508116	thanks for the $4 off $20 purchase ! :)	1	0	0
110455108974424_354091701277429	game stop is cheap!!! offered me 1.76 for nba 2k11	0	1	0
117497138610_4734166234359	"thump down 'BOOOOOOOOOO' stuck......... thump up.......... ""much better"""	0	1	0
129945096760_10151103730121761	"HEY ... DOLE ... WAKE UP , AND GET WITH IT !!!"	0	1	0
6806028948_10150661888923949	I LUV SOUTHWEST AIRLINES !!!! BEST FLUGHT SERVICE & STAFF!! ?	1	0	0
60686173217_10150857770083218	"Yeah!!!!...$2.00 off a gallon of gas with just 2,000 points!  Thanks Kroger!"	1	0	0
100488814000_10150740893034001	love special k	1	0	0
100488814000_10150788697474992	POP TART COOKIE	0	1	0
100488814000_10151012055599001	No more GMO's!	0	1	0
100488814000_10151039439344001	Lose the GMO!!!!	0	0	1
100488814000_10151042325944001	Please label your GMOs.  Thank you	0	0	1
100488814000_10151061986049001	NO to GMO'S	0	1	0
100488814000_10151226091429001	no more prize pantry?!? BOOOO HISSSSS	0	1	0
104078918472_10150865515133473	Hello US Airways!	0	1	0
106245416086016_393878433989378	"Friendly, Fast Service"	1	0	0
108381603303_10150578158878304	i love hershey's	1	0	0
108381603303_10150590403988304	Give me one!!!!!	1	0	0
108381603303_10151045427518304	a love HERSHEY'S	1	0	0
108381603303_10151121082771730	Everyone loves Whoppers!	1	0	0
108381603303_10151348773753304	I like Hershey's	1	0	0
110455108974424_527148787305052	Aaa.. it was a nice game	1	0	0
110455108974424_533076686712262	Gamma GAMMA GAMMA. Pwease let gamma in your stores. ^-^	0	0	1
115568331790246_385924081421335	truth hurts eh?	0	0	1
115568331790246_396774800336263	"Helpful, Friendly Staff"	1	0	0
115568331790246_556952374318504	Love Rite Aide.	1	0	0
117497138610_10150500438373611	I love Walgreens	1	0	0
117497138610_10150509485098611	walgreens is great	1	0	0
117497138610_10150581254123611	i love walgreens	1	0	0
117497138610_10150593629808611	I love u	1	0	0
117497138610_10150661103388611	HIRE Katie Peters!	0	0	1
117497138610_10150734195668611	Ur nuts if u dont do!!!!! TRH G.C.!!!!!!!	0	1	0
124728879505_10150550038969506	Mmm mmmm good.	1	0	0
124728879505_10151115401854506	i love campbell <3	1	0	0
125472670805257_390620030957185	I love Delta	1	0	0
125472670805257_458041114215076	Go for delta	1	0	0
126016648090_10151109302093091	FIDDLE FADDLE COUPONS?	0	0	1
12699262021_10150615735937022	Like Best Buy!	1	0	0
12699262021_10150809348677022	BOYCOTT BEST BUY...FRIEND OF HAMAS	0	1	0
12699262021_10151279324587022	OUT OF STOCK	0	1	0
12854644836_10151035687964837	Let's go shopping!	1	0	0
129945096760_10150510540436761	Love Dole products!	1	0	0
129945096760_10150543014131761	Dole it out!	1	0	0
129945096760_10150630468751761	I like Dole.	1	0	0
129945096760_10150640418976761	i love doooole	1	0	0
129945096760_10150961274631761	I l0ve u Dole	1	0	0
147285781446_10150450386906447	I like this	1	0	0
147285781446_10150544553441447	I love dicks!	1	0	0
147285781446_10151137172161447	Bub bye! No More form me...	0	1	0
151262458516_10150531566608517	I like it	1	0	0
152789358067261_424231224256405	I LOVE YOU	1	0	0
159616034235_10150576378264236	i hate walmart!!!!!!	0	1	0
159616034235_10150593686469236	I love walmart	1	0	0
159616034235_10150602523494236	I hate Walmart!	0	1	0
159616034235_10150609223639236	I Love WalMart <3	1	0	0
159616034235_10150618288674236	marge likes wallmart	1	0	0
159616034235_10150619310504236	I love Walmart!	1	0	0
159616034235_10150634856619236	I like Walmart	1	0	0
159616034235_10150672404624236	I love Walmart.	1	0	0
159616034235_10150706048794236	label GM foods	0	0	1
159616034235_10150712675134236	coming here later!!!!!!!!	1	0	0
159616034235_10150731166519236	I love Walmart	1	0	0
159616034235_10150992985054236	i love walmart	1	0	0
159616034235_10151073353099236	I hate Walmart!!	0	1	0
159616034235_10151199766329236	I love Wal-Mart.	1	0	0
159616034235_10151201166819236	We love walmart	1	0	0
159616034235_10151205709744236	I like walmart	1	0	0
159616034235_10151214845384236	I hate Walmart!	0	1	0
159616034235_10151388214694236	Walmart.com having DNS issues... what's up with that?	0	1	0
163478290365055_373213399391542	"Good people, low cost. & good deals"	1	0	0
163478290365055_374342175945331	good deals-saves money	1	0	0
163478290365055_381773341868881	Free gas for a year... nice :)	1	0	0
163478290365055_439776262735255	It.s all good and some!!!	1	0	0
17648521247_10150546303826248	Love that store!	1	0	0
17648521247_10151021940141248	I like kohl's	1	0	0
17648521247_10151105457586248	Saved $273 here today!	1	0	0
179590995428478_322588231128753	Nice cover photo!	1	0	0
179590995428478_338150836239159	your bank SUCKS!!!!!	0	1	0
179590995428478_362582960462613	this bank sucks	0	1	0
179590995428478_375846109136298	shame on you	0	1	0
179590995428478_381630145224561	Thank You BOA!	1	0	0
179590995428478_400398020014440	OK with me	1	0	0
179590995428478_406849716035937	your Billpay sucks	0	1	0
179590995428478_420876944633214	you guys suck	0	1	0
179590995428478_429547403766168	Why!!! u guy cancel  safe send >:[ ?????	0	0	1
179590995428478_431413780246197	You guys suck	0	1	0
179590995428478_446266022094306	"hello, is the webpage down today? :/"	0	0	1
199504650087085_338141266223422	new website=poop	0	1	0
21493231379_10151235177441380	Like your Page	1	0	0
260431051694_10150564105181695	Way to go pepsi! I like the new 1.5 liter bottles. Thank you	1	0	0
260431051694_10151124770401695	Save the twinnkee	0	0	1
313163945066_10150728958020067	US Bank Sucks!!!	0	1	0
313163945066_10150747799210067	Best Bank Around	1	0	0
313163945066_10151149445225067	U.S. Bank is a great place to work!	1	0	0
56805881344_10150511170246345	"THANKS KRAFT....LOVE THE FOOD, RECIPES & TIPS.  VERY CREATIVE!!!!!"	1	0	0
56805881344_10150890237046345	Loving Kraft foods.	1	0	0
56805881344_10151128775076345	Please label GMO's.	0	0	1
56805881344_10151137203686345	BOYCOTT GMO KRAFT.	0	1	0
56805881344_10151153299161345	this is cool	1	0	0
60686173217_10151177960278218	I love Krogers	1	0	0
60686173217_10151218303708218	MERRY CHRISTMAS KROGER	1	0	0
63445693036_10150633850538037	I love Macy's	1	0	0
63445693036_10150833931558037	I like dat	1	0	0
63445693036_10151009057158037	thats my store.	1	0	0
63445693036_10151072450173037	love shoping there	1	0	0
63445693036_10151085494683037	Sleeping with comfort	0	1	0
63445693036_10151129865368037	DUMP THE TRUMP	0	1	0
63445693036_10151143656073037	I take it back.... Bands and balloons! Loove it!	1	0	0
63445693036_10151167810733037	I LOVE MACYS	1	0	0
63445693036_10151168127563037	Drop Donald Trump!	0	1	0
63445693036_10151176407583037	I love macy'st	1	0	0
63445693036_10151195201428037	Love this store!!	1	0	0
6806028948_10150613893223949	Fly South west	1	0	0
6806028948_10150811297983949	go for it!!!	1	0	0
6806028948_10150817018783949	Is the best	1	0	0
6806028948_10150872194198949	Love Southwest Airlines	1	0	0
6806028948_10151020590933949	Love this airline	1	0	0
6806028948_10151025755153949	Love Southest Airlines	1	0	0
6806028948_10151098414353949	Very good airline...	1	0	0
6806028948_10151168749423949	i luv southwest	1	0	0
6806028948_10151169098393949	We love Southwest!	1	0	0
6806028948_10151169144878949	I love Southwest!	1	0	0
6806028948_10151311823238949	like flyingsout wst	1	0	0
7003656077_10150554732091078	happy birthday AA!	1	0	0
7003656077_10150606066166078	Does AA go from Sna to Seattle? O.o	0	0	1
77978885595_10151376415385596	Is it hiring	0	0	1
77978885595_10151864965855596	Love pets Mart	1	0	0
77978885595_10152062059955596	Hi! Snoopy Dog Blog sent us to like you! :)	1	0	0
77978885595_10152069067160596	"So... which ""select fish"" are only $1?"	0	0	1
77978885595_178206365624021	Like this page	1	0	0
77978885595_237761389646449	Change is good.	0	1	0
78143372410_10150910709252411	Loves the peaches	1	0	0
78143372410_10151077093667411	i hate u	0	1	0
78143372410_10151152612742411	I love savings	1	0	0
8103318119_10150510752268120	I love it	1	0	0
8103318119_10150511155733120	i love target!!!	1	0	0
8103318119_10150532660578120	Support Our Troops!	0	1	0
8103318119_10150591378968120	WERES  THE  MONEY	0	0	1
8103318119_10150613355258120	you suck target.	0	1	0
8103318119_10150617735228120	I like Target	1	0	0
8103318119_10150621988703120	Target is awesome!!!!!!!!!!!!!!!!!!!!!	1	0	0
8103318119_10150669942573120	I OVE TARGEI///	1	0	0
8103318119_10150714161998120	i LOVE TARGET!	1	0	0
8103318119_10150722555578120	I love Target!	1	0	0
8103318119_10150753966228120	better than walmart	1	0	0
8103318119_10150949560413120	I love Target!!!	1	0	0
8103318119_10151047911808120	cant stand target	0	1	0
8103318119_10151145324588120	I like target	1	0	0
8103318119_10151146198248120	I love Target	1	0	0
8103318119_10151157764308120	Target freaking rocks	1	0	0
8103318119_10151165722903120	Do not like	0	1	0
8103318119_10151195992363120	target is cool	1	0	0
8103318119_10151277573533120	I love target	1	0	0
92979593115_10150594250913116	CVS is up!	1	0	0
92979593115_10150624686518116	I love CVS.	1	0	0
92979593115_10150994862798116	"""Submit"" not working :("	0	1	0
92979593115_10150996640168116	coupon won't work :(	0	1	0
92979593115_10151059156503116	Kudos team CVS :)!!!!	1	0	0
21493231379_10151129308251380	Best Card EVER!!!!! I Love the Cashback Rewards!! Thank You!!	1	0	0
77978885595_313820525347996	I throw my paws up in the air .... fur PetSmart! <3	1	0	0
8103318119_10150970295663120	Got my Target beauty bag today! Thank you so much! =-)	1	0	0
92979593115_10150879959253116	Like CVS!!!! do it right now....you can't go wrong:))	1	0	0
92979593115_10151101401593116	I got my coupon! THANKS CVS & Unreal. This is great!	1	0	0
100488814000_10151061978344001	GMOs must go! Please just label it!!!	0	0	1
102621172007_10150690442782008	"How about ""Angry Birds"" PC games for $1.00"	0	0	1
115568331790246_413066662040410	Rite Aid is my drugstore. Great people!	1	0	0
117497138610_10150488552333611	taste like salt and saw dust!  YUCK!	0	1	0
117497138610_10150577531298611	"Walgreens ""way to wellness...help to donate!"	1	0	0
117497138610_10150673765938611	I LOVE SHOPPING AT Walgreens.  Frankie Guyton.	1	0	0
117497138610_10151162076168611	it does'nt work! it won't upload photos..	0	1	0
129945096760_10150544840521761	Love your products...........Fiji here we come!	1	0	0
129945096760_10150612528616761	Love Dole fruit..there is no other.	1	0	0
129945096760_10150873240071761	Instant win game from Dole! Good Luck!!	1	0	0
129945096760_10151103622861761	"We're watching.  Dole, do the right thing."	0	0	1
151262458516_10150491024818517	when will there be a .10 christmas sale?!?!	0	0	1
152789358067261_421270167885844	What did you do?  delete my post?	0	0	1
159616034235_10150676627734236	i like it. i can afford it.	1	0	0
163478290365055_440001399379408	This is my parts store....  Who's your's?	1	0	0
17648521247_10150538339971248	i need a coupon!! :) PLEASE PLEASE PLEASE	0	0	1
17648521247_10151152696491248	How long will Kohls.com be down???	0	0	1
179590995428478_331001570287419	Is the bank open today? My zipcode 38632	0	0	1
199504650087085_471418989562315	"Called UA. Hold time less than 3 minutes. Problem of re-deposting miles done! Total call time, 7 minutes! Nice work...keep it going!"	1	0	0
56805881344_10150529953576345	EVER THING LOOK'S GOOD. ALL THE RECIPES <3	1	0	0
63445693036_10151168144603037	Don't be a CHUMP! Dump the Trump!	0	1	0
6806028948_10150972704123949	Great flight home form TPA ....to PVD	1	0	0
6806028948_10151081129588949	i dont just like yall... i <3 <3 <3 you!!!	1	0	0
6806028948_10151169364543949	Will you be coming to XNA?!?!? Please?!?!	0	0	1
6806028948_10151175243483949	"Worked now you have 142,000 more fans!  SUPER !!!!"	1	0	0
6806028948_10151189131558949	Love flying SOUTHWEST. You're always on time.	1	0	0
78143372410_10151106327867411	Always has the freshest food. Always friendly.	1	0	0
8103318119_10151234128358120	I got my beauty bag today! Thanks!!	1	0	0
77978885595_10152055474860596	"I ""liked"" the page..where can I find the $5.00 off coupon? heading there today make a large purchase! :)"	0	1	0
100488814000_10150554923759001	Do you have a blogger program? Who do I email? Thanks!	0	0	1
8103318119_10150599739128120	the code given for the 3 hour sale today .... TGTQC4PT ... is not working	0	1	0
8103318119_10151049260428120	"Please build a store in Kingman, AZ. We need you! lol"	0	0	1
60686173217_10151209581813218	Just got 33.34 gallons of gas for 99 cents a gallon. LOVE gas points. Thank you Kroger.	1	0	0
63445693036_10150884756093037	"I am a ""Macy's Girl"" through and through . . . try it and  you will be too!"	1	0	0
100488814000_10150996506564001	Stop using GMO products	0	1	0
100488814000_10151062099414001	Just label GMO's please....	0	0	1
100488814000_10151062107799001	get rid of GMOS!	0	0	1
100488814000_10151156150949001	STOP USING GMO corn!	0	0	1
100488814000_10151206757979001	I can't read my code in my Cheez-Its. :(	0	1	0
102621172007_10150560422307008	I save a lot	1	0	0
102621172007_10151229219282008	I love shopping at your store.... I save  lots money....thank you	1	0	0
102621172007_10151307108892008	I love this store!	1	0	0
102621172007_10151312875402008	what r your hours?	0	0	1
102621172007_10151315720217008	I love this store!!!!	1	0	0
104078918472_10150504179368473	DOING A GREAT JOB	1	0	0
108381603303_10150606442288304	boycott Hershey's for life!	0	1	0
108381603303_10150654826513304	Love Hershey candy bars.	1	0	0
108381603303_10151026082898304	Stop using child labor!	0	1	0
108381603303_10151043612023304	Never been there. Would love it I'm sure.	0	1	0
108381603303_10151069908003304	ive always luved  hersheys	1	0	0
108381603303_10151142603597352	Smore fun with Jeff!	1	0	0
108381603303_10151183629478304	Hershey's makes me fly	1	0	0
